Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
FCIT.L,C-,C-,29.6269211125086,29.6269211125086,100.0,C+,D+,D,47.9004262328061,19.6494733255404,12.0037105751391,D-,D-,C-,C-,D,B,C+,D+,C-,D-,0.0,5.10204081632653,30.9090909090909,26.4423076923077,9.78260869565217,66.3461538461538,50.0,21.2848297213622,25.9287925696594,2.05371248025277
UTG.L,B,B,59.5047107167112,59.5047107167112,100.0,B,B,B-,65.7157685975301,59.1675963111706,54.7952431507063,B-,B,C-,A,C-,B+,C,C+,A-,A-,57.7127659574468,59.0225563909774,27.2727272727273,86.0436893203884,28.4965034965035,72.2087378640777,38.1748071979435,48.5692771084337,78.539156626506,83.1018518518518
DPLM.L,C,C,37.8964161631499,37.8964161631499,100.0,C-,B+,D+,32.5300957110185,69.1278075264019,17.73345866925,D+,C+,D-,B,C,C-,D-,B+,A-,D+,24.6699669966997,49.0049751243781,0.0,62.7286585365854,40.4805914972274,29.1920731707317,0.0,74.7740963855422,80.4969879518072,23.8425925925926
ICGIN.L,B,B,64.132028218233,64.132028218233,100.0,A-,B-,B-,78.8189746520041,55.1687614656155,52.6685496541206,A+,B+,C-,A+,A-,A,C+,C,A+,A+,95.2302631578947,72.397476340694,27.7522935779816,95.4896907216495,80.672268907563,84.1494845360825,43.1232091690544,35.0150602409639,93.9006024096385,97.8395061728395
BAES.L,B,B,61.4525147937365,61.4525147937365,63.7931034482759,B+,C+,B+,69.0215148336447,47.2038485303492,66.8913323518587,B,A-,B,A+,C+,B,A-,B-,D,B,61.0576923076923,78.5087719298246,59.6491228070175,93.1451612903226,47.979797979798,65.7258064516129,81.9672131147541,55.030959752322,10.1393188854489,63.6650868878357
DCC.L,C+,C+,48.7819208727633,48.7819208727633,100.0,C+,B+,C+,41.8024281923301,69.4444444444444,42.4400159957344,B-,C,C,C+,C+,C,C-,B,A,B+,52.4193548387097,36.1538461538462,39.7727272727273,42.5373134328358,49.1803278688525,35.8208955223881,33.0769230769231,63.8888888888889,84.2592592592593,75.0
ULVR.L,A,B-,87.3072584431566,55.4957344847362,23.6842105263158,A,A,A-,89.1627551020407,90.4207934109039,80.585813305357,A,B,A+,A,A,A,A,A+,A-,A+,85.9550561797753,64.6739130434783,95.0819672131148,91.3265306122449,90.0,85.2040816326531,89.0625,92.6470588235294,81.0371517027864,93.3649289099526
EDV.L,A,A-,84.6643319326215,78.2910700758998,71.9178082191781,A,A+,A-,83.6134345671229,96.2926396945808,77.7531665282392,A,A-,D-,A,A,A+,D+,A+,A+,A+,88.18359375,83.1428571428571,0.0,84.1681574239714,91.2587412587413,96.3327370304115,21.8685831622177,95.5572289156627,99.9246987951807,94.5216049382716
LSEG.L,B+,B,74.243903474944,59.4433803089006,44.6428571428571,A,B,A-,84.3701300794986,64.1901717866826,79.252889771143,A+,A,B+,A+,A,A+,C+,B,C+,A+,97.258064516129,91.2576687116564,67.2489082969432,99.3540051679587,88.6973180076628,93.9276485788114,42.3512747875354,61.9969040247678,48.8390092879257,98.1832543443918
TSCO.L,A-,C+,82.5573622799336,48.1752328641048,13.7931034482759,A,A-,B+,88.4148468671784,81.928449452009,71.66921111665,A-,A,D+,A,A,A+,A-,A-,A+,A,82.6271186440678,86.25,22.0588235294118,88.6861313868613,90.6862745098039,93.7956204379562,83.203125,76.8041237113402,94.4771723122239,88.7269938650307
LGEN.L,A-,A-,77.0960772848851,77.0960772848851,100.0,B+,A,A-,70.2920615640587,84.2624112087672,79.4111305361305,A,A-,A-,A,A-,C,A-,A,B,A+,88.125,82.0075757575758,75.6410256410256,91.2969283276451,82.7830188679245,34.3003412969283,77.0318021201414,88.6222910216718,60.4489164086687,98.1832543443918
