Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
PRU.L,A-,A-,81.593893584881,81.593893584881,100.0,A-,A+,B,77.2365024913292,93.0084278864767,62.6011595075245,B+,C+,B,B+,A-,A-,A-,A+,A,A,74.896265560166,46.2264150943396,63.961038961039,71.9387755102041,82.7102803738318,80.4421768707483,76.4084507042253,96.6248037676609,84.6938775510204,87.3983739837398
MKS.L,B+,C+,70.6041054083265,44.3446058956526,18.0851063829787,A-,B-,B,82.8977932636469,58.2556699978303,61.5376467931345,A,B,D+,B+,A,A+,A-,B+,D+,B,86.1111111111111,63.6,17.6829268292683,68.5185185185185,88.8888888888889,97.4074074074074,81.25,68.5243328100471,22.2135007849294,60.9756097560976
IMB.L,A-,A-,75.110927135871,75.110927135871,77.9069767441861,B,A,A-,63.7775148656372,88.9708363645646,80.3124804433348,A+,A-,D-,A-,A,B,C-,A+,B,A-,98.4107579462103,78.2766990291262,0.0,81.3657407407407,91.5549597855228,59.7447795823666,26.7073170731707,99.9215070643642,59.2621664050235,78.780487804878
EXPN.L,B+,B-,70.4055969016183,53.1273267526959,35.8490566037736,B+,B+,B,74.3202804477208,69.123972169513,65.0906384585658,A+,A,D-,A+,B,A+,C-,B-,A+,A,93.5215946843854,88.390092879257,0.0,98.1534090909091,66.2068965517241,98.7215909090909,25.0724637681159,57.3529411764706,98.5294117647059,83.8709677419355
GSK.L,A,B,90.3077403494097,62.2330780954969,34.1584158415842,A+,A,A,96.513896891939,86.0655852084424,83.4451025875444,A+,A-,B,A+,A+,A+,A+,A+,C+,A+,97.3846153846154,75.7267441860465,60.1351351351351,97.7647058823529,93.4397163120567,99.1764705882353,96.7312348668281,95.9968602825746,48.116169544741,93.3333333333333
LAND.L,A,A,85.3959897658897,85.3959897658897,100.0,A,B+,A+,91.5316585475898,71.4352167383526,92.4246141508867,A+,A,A-,A+,A-,A+,A,A-,C,A,99.3351063829787,89.2676767676768,76.6211604095563,95.8955223880597,82.1086261980831,92.6616915422886,86.4450127877238,78.414442700157,36.4992150706436,88.9430894308943
BEZG.L,B,B,61.4410897440853,61.4410897440853,100.0,C+,A-,B-,48.2286761584528,80.2789230766722,51.1710372960373,A-,B,C,A,B-,D,C-,A-,B+,A+,75.625,60.0378787878788,40.0641025641026,85.1535836177474,54.4811320754717,15.8703071672355,33.2155477031802,79.953560371517,69.4272445820433,98.1832543443918
BP.L,A,C+,83.7722099822428,48.1361049911214,12.5,A-,A,A,80.4729659305277,86.8049588816139,85.7160074773711,A,A,B+,B+,A,A,B,A+,C+,A+,90.0,90.719696969697,74.7252747252747,72.3048327137546,90.625,85.3159851301115,64.8648648648649,96.9387755102041,44.6624803767661,99.349593495935
JD.L,C,C-,33.5445952439001,30.1869317682915,26.8292682926829,C,D,B,38.0104784622178,14.3834297666851,61.9427412687355,A-,A-,D-,B-,A-,D,D+,D,D-,C+,83.0543933054393,81.5352697095436,6.16438356164384,53.7453183520599,77.5109170305677,14.0449438202247,24.8076923076923,12.6160990712074,1.0061919504644,43.2859399684044
ABF.L,B,C+,64.7671259689011,43.4300746123575,22.093023255814,B-,B-,A,57.8825451524918,55.1054868476471,84.3640940281382,A,A-,A,C+,B-,C,A,B,C-,B,90.0977995110024,78.7621359223301,83.7053571428571,48.4953703703704,51.6085790884718,37.0069605568445,84.8780487804878,62.7158555729984,25.8241758241758,60.9756097560976
AAL.L,B+,B-,74.5422837559732,54.1759037827485,33.8095238095238,A-,A-,B,82.4777441877843,76.0289551718123,64.4315795612628,A,B-,D-,A,A,A+,D+,A-,C+,A+,86.223506743738,55.0572519083969,0.0,84.6223021582734,88.4199134199134,96.4928057553957,20.3155818540434,81.5541601255887,46.0753532182104,93.3333333333333
ADML.L,B-,B-,56.0080358777221,56.0080358777221,100.0,C,B+,B+,39.0881873349577,71.9396051103368,67.432798079553,B+,A-,B,B,C-,D+,C-,A+,D,B,68.6721991701245,82.4528301886792,62.012987012987,65.1360544217687,27.5700934579439,22.2789115646259,32.9225352112676,92.2291993720565,11.6169544740973,60.9756097560976
RTO.L,B+,C+,72.6376853686965,42.4509181560463,12.2641509433962,A-,B+,B-,82.3396852710008,74.6878278515909,51.9989105714665,B+,C,C,A,B,A,A+,A-,A+,C,74.9169435215947,37.3065015479876,38.5826771653543,85.6534090909091,66.2068965517241,88.2102272727273,96.6666666666667,75.74568288854,93.7990580847724,40.7317073170732
RMV.L,B,B,60.2747430001061,60.2747430001061,100.0,C+,B,B+,49.7854831546948,65.8547561613764,71.782759796589,A,A,B-,A,C+,C+,C-,B,A+,C,84.2307692307692,91.0968660968661,52.7896995708155,90.5875299760192,47.8333333333333,44.9040767386091,32.4691358024691,62.87284144427,92.5431711145997,40.7317073170732
SBRY.L,B+,C,70.6736576087904,40.1240628469484,9.57446808510638,B,A-,A-,60.8891066589238,79.4382968947429,79.2190121305974,B,A,A-,B+,B,D+,B+,A,B+,B,66.2698412698413,90.0,76.219512195122,74.4444444444444,63.4259259259259,20.3703703703704,74.609375,86.2637362637363,68.9952904238619,60.9756097560976
PHNX.L,A-,A-,76.8948578429459,76.8948578429459,100.0,A-,B+,A,80.7932960198322,68.6844958320902,87.8814102564103,B+,A+,A,A,B-,A-,A,B,B+,A+,69.375,97.9166666666667,90.7051282051282,90.9556313993174,54.4811320754717,76.962457337884,91.3427561837456,60.9133126934985,74.9226006191951,98.1832543443918
IHG.L,A-,B,75.8759316508361,60.3405632280154,44.8051948051948,A-,B,A-,79.2659296356269,64.1984658779084,83.2008969794377,A+,B+,B+,B,A+,A,A-,B-,A,A-,93.5424354243542,73.7676056338028,72.5806451612903,61.0032362459547,93.5344827586207,90.1294498381877,76.0204081632653,53.2967032967033,90.8163265306122,78.780487804878
BT.L,B,C+,65.4994707047346,41.8843507369827,18.2692307692308,B+,C+,A-,67.8574251692649,48.3317124223047,81.7239267130096,A,A+,B-,B+,B,B-,B+,C-,A-,A-,90.8376963350785,93.7185929648241,57.6,72.877358490566,63.1428571428571,55.8962264150943,74.1379310344828,31.6326530612245,80.7692307692308,83.1707317073171
MNDI.L,A-,A-,82.6991840448991,82.6991840448991,100.0,A,A-,A-,85.2192256774926,82.2769928484214,80.1896975138304,B-,A+,A+,A+,A,B+,A+,A-,A-,A+,57.8651685393258,94.9438202247191,93.9189189189189,92.8571428571429,85.0574712643678,69.7802197802198,92.6966292134831,82.0251177394035,75.74568288854,93.3333333333333
BATS.L,A,C+,89.278043945265,47.8366963912372,6.3953488372093,A,A,A,91.0298927885107,85.0880524817807,90.3354857289909,A+,A,A,A+,A,B+,A+,A+,B-,A-,94.2542787286064,87.7427184466019,83.7053571428571,99.8842592592593,91.5549597855228,69.0255220417633,97.6829268292683,96.7817896389325,50.3139717425432,78.780487804878
PSON.L,B+,B,72.3493540602562,61.1746770301281,50.0,B+,B+,A-,71.680123658847,70.0844235129949,81.7876057876058,A+,A+,C+,A,A+,A,C-,B-,A+,A+,99.7297297297297,92.1717171717172,50.0,88.2222222222222,95.0354609929078,83.7777777777778,32.9326923076923,58.320251177394,93.7990580847724,93.3333333333333
PCT.L,C-,C-,30.1818460311448,30.1818460311448,100.0,C,C-,D-,39.5084568501441,27.9432383334822,6.91823899371069,D-,D+,D-,C-,C-,C+,C+,C-,D+,D+,0.0,20.7547169811321,0.0,26.6666666666667,27.6595744680851,44.2857142857143,49.4845360824742,31.4756671899529,23.469387755102,16.9918699186992
SPX.L,B-,B-,52.5430803261883,52.5430803261883,100.0,C+,B,C+,47.8611939035849,64.4742303672945,47.7158497166295,B+,A,D+,A-,C+,B+,D-,B+,C-,B,71.0950080515298,89.0599675850891,18.2879377431907,76.6263237518911,43.0823117338004,68.6081694402421,7.12074303405573,74.2260061919505,32.5077399380805,63.6650868878357
PSN.L,B+,B-,69.780372977468,57.6174592160067,45.4545454545455,B+,A-,B,71.9154670220639,77.1881660731835,61.5090085424047,C,B,A-,A,B,C+,A+,A,B-,B,33.8607594936709,60.9090909090909,79.7872340425532,91.4201183431953,63.0281690140845,41.7159763313609,94.8795180722892,87.3626373626374,54.0816326530612,60.9756097560976
RIO.L,A-,C+,78.8100848487536,45.595518614853,12.3809523809524,A,A-,B+,88.3419584426967,75.4952032094889,70.2239452551661,B+,A,D-,A+,A,A+,B-,B+,A-,A+,66.859344894027,88.5496183206107,0.0,93.1654676258993,88.4199134199134,95.863309352518,56.9033530571992,71.6640502354788,76.3736263736264,93.3333333333333
CCH.L,A,B-,87.1402349330294,54.403450799848,21.6666666666667,A,A,A,89.8660114484545,85.8473389355742,84.0406481410677,A,A,B-,A+,A,A,A,A,A,A,90.7079646017699,87.280701754386,52.9850746268657,99.5689655172414,87.8640776699029,85.7758620689655,86.8421052631579,86.0294117647059,86.5196078431373,83.9285714285714
ALWA.L,B-,B-,56.9704894265027,56.9704894265027,100.0,B,C+,A-,64.7375650665125,46.9434540258275,78.4106369820655,C+,A+,A,A-,D-,A-,C+,C+,A,D,50.0,97.9591836734694,87.2727272727273,81.25,0.0,75.4807692307692,50.0,43.1114551083591,85.061919504644,8.92575039494471
