Instrument,Life Cycle Analysis,Roundtable for Sustainable Palm Oil(RSPO) Support,Target Sustainable Palm Oil Production,"Pollution, Waste and Resource Use Research and Development",Certified Palm Oil Percent,REIT Green Building Certified Percent,Sustainable Palm Oil Production Target Year,Sustainable Palm Oil Production-Year in which Target was set,Environmental Products,Eco-Design Products,Env R&D Expenditures To Revenues in million,Environmental R&D Expenditures,Noise Reduction,Fleet Fuel Consumption,Hybrid Vehicles,Environmental Assets Under Mgt,Equator Principles,Equator Principles or Env Project Financing,Environmental Project Financing,Nuclear,Nuclear Production,Labeled Wood Percentage,Labeled Wood,Organic Products Initiatives,Product Impact Minimization,Take-back and Recycling Initiatives,Product Environmental Responsible Use,GMO Products,Agrochemical Products,Agrochemical 5 % Revenue,Animal Testing Reduction,Renewable/Clean Energy Products,Water Technologies,Sustainable Building Products,Real Estate Sustainability Certifications,Revenue from Environmental Products,Products Recovered to Recycle,Percentage of Green Products,ESG Assets Under Management
EMN.N,True,False,False,False,,,,,True,False,,,True,,False,False,False,,False,False,,,False,False,,False,True,False,True,False,True,True,True,True,,,,,
AZO.N,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,True,True,False,False,,False,False,False,False,False,,,340245.0,,
TEL.N,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,True,,,False,False,True,True,True,False,,False,False,True,False,False,,,,,
FRT.N,False,False,False,False,,,,,True,True,,,False,,False,False,False,,True,False,,,False,False,,False,True,False,,False,False,True,True,True,True,39.0,,,
DUK.N,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,True,33.0,,False,False,,False,True,False,,False,False,True,False,False,,,,,
KMI.N,False,False,False,False,,,,,True,False,,775000,False,,False,False,False,,False,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,,
DVN.N,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
RCL.N,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
VTRS.OQ,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,False,False,False,False,,False,True,False,False,False,,,,,
CAH.N,False,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,,False,False,True,False,True,False,,False,False,False,False,False,,,,,
MKC.N,False,True,True,False,100.0,,,,True,False,,,False,,False,False,False,,False,False,,,False,True,True,False,True,True,,False,False,False,False,False,,46.0,,,
IEX.N,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,True,False,True,False,,False,False,False,True,False,,,,,
VLO.N,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,,
EXPD.N,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,,False,True,False,,False,False,False,False,False,,,,,
LH.N,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,True,False,False,False,,,,,
SW.N,True,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,57,True,False,,False,True,False,,False,False,False,False,False,,,,,
DRI.N,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
MAA.N,False,False,False,False,,7.21,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,True,,,,
JNJ.N,False,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,,False,False,True,True,True,False,,False,True,False,False,False,,,,,
JNJ.N,False,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,,False,False,True,True,True,False,,False,True,False,False,False,,,,,
COR.N,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
SHW.N,True,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,,False,False,,True,True,False,,False,False,False,False,True,,,,,
GD.N,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,True,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
SBAC.OQ,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
MPWR.OQ,False,False,False,False,,,,,True,False,,,False,,True,False,False,,False,False,,,False,False,True,False,True,False,,False,False,True,False,True,,,,,
COP.N,True,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,,False,True,False,,False,False,False,True,False,,,,,
