Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
PCT.L,C-,C-,30.0534329797517,30.0534329797517,100.0,C,C-,D-,40.3602547338245,28.4485235018594,0.0,D-,D-,D-,C-,C-,C+,C+,C-,D+,D+,0.0,0.0,0.0,26.4423076923077,27.1739130434783,46.1538461538462,50.0,31.656346749226,24.7678018575851,17.9304897314376
SPX.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSN.L,B+,B-,69.780372977468,57.6174592160067,45.4545454545455,B+,A-,B,71.9154670220639,77.1881660731835,61.5090085424047,C,B,A-,A,B,C+,A+,A,B-,B,33.8607594936709,60.9090909090909,79.7872340425532,91.4201183431953,63.0281690140845,41.7159763313609,94.8795180722892,87.3626373626374,54.0816326530612,60.9756097560976
RIO.L,A-,C+,78.8100848487536,45.595518614853,12.3809523809524,A,A-,B+,88.3419584426967,75.4952032094889,70.2239452551661,B+,A,D-,A+,A,A+,B-,B+,A-,A+,66.859344894027,88.5496183206107,0.0,93.1654676258993,88.4199134199134,95.863309352518,56.9033530571992,71.6640502354788,76.3736263736264,93.3333333333333
CCH.L,A,B-,87.1402349330294,54.403450799848,21.6666666666667,A,A,A,89.8660114484545,85.8473389355742,84.0406481410677,A,A,B-,A+,A,A,A,A,A,A,90.7079646017699,87.280701754386,52.9850746268657,99.5689655172414,87.8640776699029,85.7758620689655,86.8421052631579,86.0294117647059,86.5196078431373,83.9285714285714
ALWA.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSE.L,B+,B+,73.4088252627201,73.4088252627201,100.0,A,B-,A-,83.7813682533334,53.5374084779833,77.1659493197434,C+,A+,A+,A+,A,A,C+,C,A,A+,43.7269372693727,94.1071428571429,93.6046511627907,93.205574912892,87.007874015748,88.6759581881533,47.7611940298507,34.4427244582043,90.6346749226006,93.3649289099526
SMT.L,D,D,12.2219174703964,12.2219174703964,100.0,D,D,D-,13.7181897050318,13.5607220355507,0.0,D-,D-,D-,C-,D-,D,D-,D,C,D-,0.0,0.0,0.0,26.4423076923077,0.0,15.8653846153846,0.0,8.43653250773994,38.312693498452,2.05371248025277
