Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
GNRC.N,C-,C-,31.4864467406383,31.4864467406383,100.0,C,B-,D-,38.9066120609171,54.9179126314532,3.85300750021028,D-,D,D-,C-,B-,B-,D-,B,B-,D-,5.48926014319809,10.5326876513317,0.0,26.4091858037578,55.7894736842105,58.2463465553236,7.19101123595506,63.953488372093,57.3391724554515,6.10814419225634
CHTR.OQ,C,C,35.511390054482,35.511390054482,93.0232558139535,C,D+,C,41.1749386322916,22.103598784755,38.1842986918849,D+,C,B,B-,D-,C+,B+,D+,D+,C,19.8224852071006,36.890243902439,60.6481481481482,50.2577319587629,0.0,42.0103092783505,68.4782608695652,19.6164300815464,20.3412866203564,37.1829105473965
PWR.N,C+,C+,46.9491517213004,46.9491517213004,100.0,C+,B+,C-,47.7395092946966,70.7631128561361,29.1613672670437,D,C+,C-,D+,B+,B,D,A,B-,D-,10.632183908046,42.896174863388,27.007299270073,20.25,73.9583333333333,62.25,13.5593220338983,90.5919661733615,51.8423437028088,0.0
CCL.N,A-,C+,82.8609798829681,43.2162042271983,3.57142857142857,A,A,B+,85.6471051797139,88.1111111111111,72.3839585793441,B,A+,D-,A+,A+,A-,A-,A+,B+,A,58.6633663366337,99.3119266055046,0.0,97.4903474903475,96.2732919254658,77.027027027027,79.7916666666667,91.6666666666667,75.0,90.0
PM.N,A-,B,81.8193544102311,60.7814720769104,39.7435897435897,A,B-,A+,87.8852501940358,58.1217641418013,93.8348728928273,A+,A+,B,A+,A+,A+,B+,C+,A-,A,95.9154929577465,98.7179487179487,59.0163934426229,99.8684210526316,93.0232558139535,93.0079155672823,70.0842696629213,45.2511547344111,82.9243648960739,85.2709100473435
SNA.N,C,C,38.5999097096794,38.5999097096794,100.0,C+,C+,D+,43.6199087315983,49.1149315504617,24.3525777628569,B-,D,D+,B-,C+,C,C,B,C,D-,50.4335260115607,14.3504531722054,18.1089743589744,53.9141414141414,44.4625407166124,40.4040404040404,37.1584699453552,62.7029608404967,36.564788283986,0.0
UAL.OQ,C+,C+,48.6734629463633,48.6734629463633,60.3448275862069,B-,C,C+,54.3464300155834,41.0525568034805,48.0089519987652,C-,B,C+,C,B+,B+,C,C-,A,C,30.6451612903226,65.7894736842105,50.0,39.1089108910891,72.7848101265823,72.7722772277228,39.0625,26.8649954696466,90.9241920869828,37.1829105473965
ESS.N,B+,B+,70.5928350034441,70.5928350034441,100.0,B-,A-,B+,56.8739538252134,83.2282272534392,70.802931737358,B+,A-,C-,A,B-,C+,C,A+,B-,B+,74.7540983606557,78.0,28.0092592592593,84.016393442623,55.609756097561,41.9398907103825,40.9763313609467,94.6390818483842,53.9263062518876,70.1268357810414
KHC.OQ,B+,B,70.1200425141836,59.4021265202497,48.6842105263158,B+,A-,B,69.5658626243839,77.7214909990394,64.0800890720302,A-,C+,A,B-,B+,A+,B,B+,A-,A+,81.8936877076412,41.7491749174918,86.6666666666667,51.0479041916168,73.6947791164659,92.042042042042,66.2337662337662,74.4337058290547,77.1217154938085,95.0600801068091
BLDR.N,C-,C-,29.3687878144688,29.3687878144688,100.0,D+,B-,D+,18.8141645588454,54.4437732809826,22.8000116354659,D-,D,C,D+,D-,B,D-,B,B,D-,6.04838709677419,10.9848484848485,41.2844036697248,24.1258741258741,0.0,61.8881118881119,0.0,64.1649048625793,58.3358501963153,0.0
JBHT.OQ,B,B,65.8558782356204,65.8558782356204,100.0,B,A-,B-,64.2478257609836,77.8112983155365,57.6350850165469,B-,B+,C+,B+,D-,A+,A-,A-,A-,A,53.1496062992126,68.4782608695652,50.0,71.3815789473684,0.0,96.3815789473684,76.7361111111111,77.061310782241,75.732407127756,84.6795727636849
CMI.N,B+,B+,70.1910337088713,70.1910337088713,100.0,A-,B+,B-,77.4711693148514,74.5180277955761,58.231269555527,A-,A-,C,B+,A,A+,C+,B+,B+,A+,81.25,75.4950495049505,36.3636363636364,71.0869565217391,91.0810810810811,93.2608695652174,47.1830985915493,70.3261854424645,74.7961340984597,95.0600801068091
PNR.N,B,B,65.5758823111136,65.5758823111136,100.0,B+,B-,B+,73.7717276271351,50.75,68.9760643547218,A,B,B,B-,A+,A+,C+,C+,B-,B,90.5102040816327,64.968814968815,61.8072289156626,53.4259259259259,91.7420814479638,91.9444444444444,48.635477582846,47.3214285714286,52.6785714285714,65.0
CRL.N,B+,B+,70.0448733410374,70.0448733410374,100.0,A,C+,A-,86.6055967404221,49.0669636094544,78.8787492925863,A+,B+,D-,A+,B+,A,A-,B-,C+,C+,95.9677419354839,74.5614035087719,0.0,96.6357308584687,70.8333333333333,89.907192575406,80.0,50.1812141347025,47.3119903352462,46.128170894526
DECK.N,B,B,60.6172220878752,60.6172220878752,100.0,B,C+,B+,64.3330755725713,49.2198759727558,67.7588281432934,A+,A,C-,B,C+,A,B+,C-,A,A,96.6346153846154,86.7021276595745,25.3521126760563,61.5740740740741,48.469387755102,89.3518518518518,67.6470588235294,28.7979462398067,90.4711567502265,89.452603471295
HPQ.N,A-,A-,79.3694659569506,76.0483693421117,72.7272727272727,A,A,B,85.947932044812,85.050596002563,58.4741924741925,A+,B+,C+,A+,A+,A+,B-,A,B,A+,96.7948717948718,70.7792207792208,43.3333333333333,98.314606741573,92.6666666666667,97.1910112359551,53.5294117647059,89.685895499849,62.9266082754455,95.0600801068091
ROP.OQ,B,B,60.8249465694903,60.8249465694903,100.0,B-,A-,C-,52.4965165758339,77.2838391051823,29.8676501360117,D,D-,B-,D+,A-,B+,C,A,B,D+,15.2777777777778,5.93220338983051,52.7777777777778,19.9264705882353,82.122905027933,68.6764705882353,34.2592592592593,91.6490486257928,65.9468438538206,22.4632843791722
LW.N,B,B,63.5192317379795,63.5192317379795,100.0,C+,A+,B,46.1325190466508,93.9413886121123,63.17215804939,A+,C,C-,C+,D+,C+,B,A+,A+,A+,93.1893687707641,40.7590759075907,25.1515151515152,47.1556886227545,21.0843373493976,49.0990990990991,66.2337662337662,92.5551192993053,96.0585925702205,97.6969292389853
TGT.N,A-,B,81.6346572405362,65.8173286202681,50.0,A+,B-,A+,93.2271325478736,56.4521923052677,97.0181715469353,A+,A+,A-,A+,A-,A+,A,B-,B-,A,99.375,99.3421052631579,79.0697674418605,99.438202247191,82.1428571428571,99.438202247191,85.4430379746835,52.3255813953488,51.3893083660526,84.6795727636849
NTAP.OQ,B-,B-,55.0265486627048,55.0265486627048,100.0,C+,B+,C+,48.9046539544097,71.4180993967997,48.4575424575425,B+,C+,C+,D+,C,A,B,A-,C,B+,67.3076923076923,48.7012987012987,43.3333333333333,19.6629213483146,39.3333333333333,84.8314606741573,62.9411764705882,81.6218665055874,38.2663847780127,70.1268357810414
OXY.N,A-,C+,75.9967211957684,49.8733605978842,23.75,A,A-,B,84.8286100856605,79.3415510085799,62.9773814231878,A-,B+,C-,B,A+,A,A+,A-,B,A,80.8189655172414,72.8515625,29.0123456790123,65.8582089552239,93.5828877005348,86.7537313432836,97.2916666666667,82.7091513138025,64.5575354877681,84.6795727636849
IR.N,C+,C+,44.1246825926186,44.1246825926186,100.0,C+,C+,C,46.9094477763467,48.966025642835,37.0476162389206,C+,B+,D+,B,D+,B+,C,B-,D+,B,47.8520286396181,66.7070217917675,18.4491978609626,64.4050104384134,21.1842105263158,74.2171189979123,35.7303370786517,55.3760193295077,17.6532769556025,63.8851802403204
TER.OQ,C+,C+,44.2676163403295,44.2676163403295,100.0,B-,C,C,56.512182660508,35.6238103706045,34.6345092915215,B-,B,D-,B+,C+,B-,B-,D+,B-,A-,52.6785714285714,60.6707317073171,0.0,73.9473684210526,45.7792207792208,56.578947368421,55.7142857142857,22.3044397463002,50.1661129568106,80.4072096128171
WAB.N,B,B,62.7701705298675,62.7701705298675,100.0,A,C+,B-,84.0334507786055,42.3906340707036,56.5210150851794,B+,C+,B-,B+,A+,A+,B+,C-,B,A-,71.0023866348449,46.1259079903148,55.3475935828877,71.9206680584551,91.9736842105263,95.7202505219207,71.685393258427,30.0060404711568,61.2654787073392,76.0013351134846
NOW.N,B-,B-,50.8244552337207,50.8244552337207,100.0,B,C,C+,66.1607433045503,39.1911790303444,45.5812157083343,A,B+,D-,A+,B-,A-,C,C-,B-,B+,87.7525252525252,73.4866828087167,0.0,97.1323529411765,50.9776536312849,81.6911764705882,34.2592592592593,28.0126849894292,55.829054666264,70.1268357810414
