Instrument,Corruption Due Diligence,Corruption Intermediaries Procedures,Corruption Oversight,Corruption Procedures for High Risk Operations,Corruption Risk Assessment,Corruption Training,Principles for Community Investments,Supplier Policy Animal Welfare,Corruption Fines,Lobbying Controversies,Recent Lobbying Controversies,Policy Fair Competition,Policy Bribery and Corruption,Policy Business Ethics,Policy Community Involvement,Improvement Tools Business Ethics,Whistleblower Protection,OECD Guidelines for Multinational Enterprises,Extractive Industries Transparency Initiative,Total Donations To Revenues in million,Donations Total,Political Contributions,Lobbying Contribution Amount,Employee Engagement Voluntary Work,Corporate Responsibility Awards,Product Sales at Discount to Emerging Markets,Diseases of the Developing World,"Bribery, Corruption and Fraud Controversies",Intellectual Property Controversies,Crisis Management Systems,Anti-competition Controversies,Public Health Controversies,Business Ethics Controversies,Tax Fraud Controversies,Anti-Competition Controversies Count,Critical Countries Controversies,Critical Country 1,Critical Country 2,Critical Country 3,Critical Country 4,Critical Country 5,Recent Public Health Controversies,Recent Business Ethics Controversies,Recent Tax Fraud Controversies,Recent Anti-Competition Controversy,Recent Critical Countries Controversies,Recent Intellectual Property Controversies
TEL.N,False,False,False,False,False,True,True,False,0,,,True,True,True,True,True,True,False,False,345.18764203673,5620000,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
FRT.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,446792.763849524,425000000,0.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
DUK.N,False,True,True,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,2233.86539945575,55000000,4232666.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
KMI.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,181.51715833835,3015000,2863000.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
DVN.N,False,False,True,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,1122.39882025233,13700000,2825959.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
RCL.N,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
VTRS.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,478250.0,,True,True,True,True,True,1,True,False,,1,,,,,,,,,,,,,,
CAH.N,True,True,True,False,False,True,True,True,,,,True,True,True,True,True,True,True,False,92.6508057311141,16800000,502200.0,,True,True,False,False,True,,False,False,,1,,,,,,,,,,,,,,
MKC.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,1310.56205384701,8280000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
IEX.N,False,False,False,False,True,True,True,False,0,,,True,True,True,True,True,True,False,False,431.619472642132,1373370,,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
VLO.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,543.96939733455,62000000,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
EXPD.N,False,False,False,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,,,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
LH.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
SW.N,,,,,,,,,,,,True,True,True,True,True,True,True,False,484.812506183833,4900000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
